CLASS_SPECIES,CLASS_KEY,KEY_COUNT,KEY_TEXT,TRIGGER_ID,CAMERA_SEQ_NO,TRIGGER_DATETIME
Coyote,COYOTE_AMT,1,NA,SSWI000000023457261,32522,7-Sep-21
Mink,MINK_AMT,1,NA,SSWI000000016883954,69995,14-Mar-20
Mink,MINK_AMT,1,NA,SSWI000000017336927,37160,17-Apr-20
Fisher,FISHER_AMT,1,NA,SSWI000000016799673,69966,14-Mar-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000010811734,7215,5-Oct-18
Deer,DEER_FAWN_AMT,2,NA,SSWI000000019124811,46145,28-Jul-20
Wolf,WOLF_COLLAR_PRESENT,NA,Y,SSWI000000017453150,48884,10-Jan-20
Wolf,WOLF_AMT,1,NA,SSWI000000022204055,66137,19-Jun-21
Deer,DEER_ADULT_ANTLERED_AMT,1,NA,SSWI000000019124833,46145,31-Jul-20
Fisher,FISHER_AMT,1,NA,SSWI000000013369330,50029,17-Dec-18
Weasel,WEASEL_AMT,1,NA,SSWI000000022148780,84105,5-Apr-21
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000021674914,54264,27-May-21
Wolf,WOLF_AMT,1,NA,SSWI000000014882062,61758,15-Sep-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000016520050,47758,3-Jan-20
Otter,OTTER_AMT,1,NA,SSWI000000017895391,26700,2-May-20
Fisher,FISHER_AMT,1,NA,SSWI000000007822665,39007,23-Jan-18
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000017459568,33548,15-Apr-20
Wolf,WOLF_AMT,1,NA,SSWI000000011431831,54977,17-Dec-18
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000012929401,33102,24-Apr-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000019819558,32184,3-Nov-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000012170121,58691,9-Apr-19
Wolf,WOLF_AMT,1,NA,SSWI000000017192993,69999,9-Feb-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000012440306,32545,17-Apr-19
Wolf,WOLF_AMT,1,NA,SSWI000000018970222,60117,2-Sep-20
Fisher,FISHER_AMT,1,NA,SSWI000000019663322,33006,31-Aug-20
Otter,OTTER_AMT,1,NA,SSWI000000023145313,85412,27-Aug-21
Coyote,COYOTE_AMT,1,NA,SSWI000000020011802,84906,11-Nov-20
Fisher,FISHER_AMT,1,NA,SSWI000000019889041,54286,15-Oct-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000008666533,30740,13-Apr-18
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000015364753,57344,18-Oct-19
Elk,ELK_ADULT_UNKNOWN_AMT,1,NA,SSWI000000007439936,28204,18-Dec-17
Wolf,WOLF_AMT,1,NA,SSWI000000013940974,61758,26-Jul-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000007245911,141,10-Nov-17
Wolf,WOLF_AMT,1,NA,SSWI000000014882081,61758,17-Sep-19
Coyote,COYOTE_AMT,1,NA,SSWI000000023457288,32522,11-Sep-21
Otter,OTTER_AMT,1,NA,SSWI000000023347165,81377,2-Jul-21
Wolf,WOLF_AMT,1,NA,SSWI000000021181832,81388,27-Mar-21
Wolf,WOLF_AMT,1,NA,SSWI000000016342835,43147,19-Nov-19
Fisher,FISHER_AMT,1,NA,SSWI000000019889131,54286,24-Oct-20
Cottontail,COTTONTAIL_AMT,1,NA,SSWI000000019819399,32184,14-Sep-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000017380842,44337,8-Jun-20
"Grouse, Ruffed",GROUSE_AMT,2,NA,SSWI000000017202418,51809,21-May-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000003620242,20697,9-Jul-16
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000022803413,84095,2-May-21
Fisher,FISHER_AMT,1,NA,SSWI000000016600672,55079,5-Mar-20
Wolf,WOLF_AMT,1,NA,SSWI000000008040503,28219,14-Jan-18
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000008392461,93,3-Dec-17
Wolf,WOLF_AMT,1,NA,SSWI000000016945407,44348,8-Jan-20
Raccoon,RACCOON_AMT,1,NA,SSWI000000016936944,65149,1-Apr-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000020134738,42955,20-Sep-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000017095992,28200,29-Apr-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000016098337,38582,7-Dec-19
Deer,DEER_ADULT_ANTLERED_AMT,1,NA,SSWI000000018743840,52460,22-Aug-20
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000018743840,52460,22-Aug-20
Raccoon,RACCOON_AMT,1,NA,SSWI000000021459207,34607,31-Mar-21
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000020825674,58287,15-Feb-21
Fisher,FISHER_AMT,1,NA,SSWI000000012440440,32545,8-Dec-18
Turkey,TURKEY_AMT,1,NA,SSWI000000005770532,23221,16-Apr-17
Otter,OTTER_AMT,1,NA,SSWI000000021385275,81377,3-Apr-21
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000019216511,58667,26-Sep-20
Wolf,WOLF_AMT,2,NA,SSWI000000013941039,61758,1-Aug-19
Fisher,FISHER_AMT,1,NA,SSWI000000011036709,23118,4-Nov-18
Wolf,WOLF_AMT,1,NA,SSWI000000018161676,39905,20-May-20
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000019033432,62364,25-Aug-20
Fisher,FISHER_AMT,1,NA,SSWI000000016073255,31906,16-Dec-19
Otter,OTTER_AMT,1,NA,SSWI000000021539003,57342,7-Apr-21
Fisher,FISHER_AMT,1,NA,SSWI000000012645120,32464,12-Mar-19
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000019713174,67101,20-Oct-20
Weasel,WEASEL_AMT,1,NA,SSWI000000014556693,39022,10-Aug-19
Wolf,WOLF_COLLAR_PRESENT,NA,Y,SSWI000000016183254,49960,10-Jan-20
Wolf,WOLF_AMT,1,NA,SSWI000000016183254,49960,10-Jan-20
"Fox, Gray",FOXGRAY_AMT,2,NA,SSWI000000018638114,46138,14-Aug-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016782849,42964,16-Mar-20
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000019190251,53994,2-Aug-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000021450439,38814,2-May-21
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000018654899,31321,4-Aug-20
Fisher,FISHER_AMT,1,NA,SSWI000000011614834,49385,11-Jan-19
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000019171348,35620,14-Aug-20
Fisher,FISHER_AMT,1,NA,SSWI000000016183496,49960,24-Dec-19
Fisher,FISHER_AMT,1,NA,SSWI000000015725825,39889,28-Sep-19
Mink,MINK_AMT,1,NA,SSWI000000015985994,49400,10-Apr-19
Mink,MINK_AMT,1,NA,SSWI000000016702964,37160,23-Mar-20
Coyote,COYOTE_AMT,1,NA,SSWI000000023457281,32522,10-Sep-21
Mink,MINK_AMT,1,NA,SSWI000000015649101,66123,27-Sep-19
Mink,MINK_AMT,1,NA,SSWI000000014957139,60050,9-Sep-19
Fisher,FISHER_AMT,1,NA,SSWI000000019048268,58723,16-Sep-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000019216484,58667,25-Sep-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000018283742,7100,29-Dec-19
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000020491650,42946,21-Nov-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016992167,62369,3-Mar-20
Coyote,COYOTE_AMT,1,NA,SSWI000000016866912,50142,7-Mar-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000010811887,7215,29-Oct-18
Mink,MINK_AMT,1,NA,SSWI000000007909234,172,15-Mar-18
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000022118064,33022,20-May-21
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000007439898,28204,4-Dec-17
Elk,ELK_ADULT_UNKNOWN_AMT,3,NA,SSWI000000005446526,28204,12-May-17
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000020893872,43685,23-Feb-21
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016782882,42964,22-Mar-20
Fisher,FISHER_AMT,1,NA,SSWI000000016110068,51008,17-Dec-19
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000007439899,28204,4-Dec-17
Elk,ELK_ADULT_UNKNOWN_AMT,1,NA,SSWI000000018976376,46040,15-May-20
Wolf,WOLF_AMT,1,NA,SSWI000000011431826,54977,17-Dec-18
Otter,OTTER_AMT,1,NA,SSWI000000017895624,26700,11-Jun-20
Wolf,WOLF_AMT,1,NA,SSWI000000021079859,58697,16-Mar-21
"Fox, Gray",FOXGRAY_AMT,1,NA,SSWI000000018519314,45423,7-Aug-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000018651379,63343,27-Jun-20
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000005446574,28204,23-May-17
Wolf,WOLF_AMT,1,NA,SSWI000000014882131,61758,24-Sep-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000005157676,7204,25-May-17
Mink,MINK_AMT,1,NA,SSWI000000010136032,33091,31-Aug-18
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000017033018,66129,4-Mar-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000020390329,69960,11-Dec-20
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000020491667,42946,26-Nov-20
Fisher,FISHER_AMT,1,NA,SSWI000000019721511,48758,28-Oct-20
Deer,DEER_FAWN_AMT,1,NA,SSWI000000018947309,56136,16-Jul-20
Fisher,FISHER_AMT,1,NA,SSWI000000009469033,7244,19-Jun-18
Wolf,WOLF_AMT,1,NA,SSWI000000017908452,65137,8-May-20
Deer,DEER_ADULT_ANTLERLESS_AMT,2,NA,SSWI000000018549747,49226,17-Aug-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000017589193,42001,12-Jun-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016992161,62369,2-Mar-20
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000020233865,54244,18-Aug-20
Raccoon,RACCOON_AMT,1,NA,SSWI000000016913715,49368,16-Apr-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000021450388,38814,28-Apr-21
Fisher,FISHER_AMT,1,NA,SSWI000000016479875,42002,2-Feb-20
Fisher,FISHER_AMT,1,NA,SSWI000000016399762,61139,27-Dec-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000022118115,33022,13-Jun-21
Elk,ELK_ADULT_ANTLERED_AMT,1,NA,SSWI000000020662817,45852,28-Dec-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016256432,26714,25-Jan-20
Otter,OTTER_AMT,2,NA,SSWI000000023347167,81377,2-Jul-21
Mink,MINK_AMT,1,NA,SSWI000000016698239,62125,30-Jan-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016782799,42964,2-Mar-20
Elk,ELK_ADULT_ANTLERLESS_AMT,2,NA,SSWI000000020458971,69991,5-Dec-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000012259309,43181,15-Mar-19
Wolf,WOLF_AMT,1,NA,SSWI000000013940893,61758,15-Jul-19
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000021066830,45701,24-Mar-21
Mink,MINK_AMT,1,NA,SSWI000000011219509,43522,29-Nov-18
Mink,MINK_AMT,1,NA,SSWI000000016203696,57423,22-Dec-19
Elk,ELK_ADULT_UNKNOWN_AMT,1,NA,SSWI000000007439908,28204,4-Dec-17
Elk,ELK_COLLAR_PRESENT,NA,Y,SSWI000000007439908,28204,4-Dec-17
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000007625776,39025,21-Jan-18
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000004281923,23400,10-Nov-16
Coyote,COYOTE_AMT,1,NA,SSWI000000023457282,32522,10-Sep-21
Wolf,WOLF_AMT,1,NA,SSWI000000014882066,61758,15-Sep-19
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000017044674,54303,16-Mar-20
Wolf,WOLF_AMT,1,NA,SSWI000000016159336,54257,23-Dec-19
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000020491514,42946,5-Jan-21
Coyote,COYOTE_AMT,1,NA,SSWI000000019900034,50962,28-Oct-20
Fisher,FISHER_AMT,1,NA,SSWI000000016664052,49124,6-Feb-20
Fisher,FISHER_AMT,1,NA,SSWI000000008095768,39946,17-Mar-18
Wolf,WOLF_AMT,1,NA,SSWI000000012594173,45727,27-Jan-19
Wolf,WOLF_AMT,1,NA,SSWI000000011431814,54977,16-Dec-18
Elk,ELK_ADULT_UNKNOWN_AMT,1,NA,SSWI000000005446497,28204,12-May-17
Weasel,WEASEL_AMT,1,NA,SSWI000000010645963,28866,9-Sep-18
Weasel,WEASEL_AMT,1,NA,SSWI000000018257666,41600,15-Jul-20
Fisher,FISHER_AMT,1,NA,SSWI000000004590078,172,26-Dec-16
Fisher,FISHER_AMT,1,NA,SSWI000000008801375,137,14-May-18
Elk,ELK_ADULT_ANTLERED_AMT,2,NA,SSWI000000007439890,28204,4-Dec-17
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000018161885,39905,15-Jul-20
"Fox, Gray",FOXGRAY_AMT,1,NA,SSWI000000018519319,45423,7-Aug-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000019619028,77060,19-Oct-20
Elk,ELK_ADULT_UNKNOWN_AMT,1,NA,SSWI000000020458958,69991,29-Nov-20
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000018947231,56136,2-Jul-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000021297659,53965,3-Apr-21
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000020142323,51811,20-Nov-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016936965,65149,6-Apr-20
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000020491748,42946,24-Dec-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000017905689,65716,1-Jul-20
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000020491690,42946,4-Dec-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000011256393,48370,8-Nov-18
Deer,DEER_FAWN_AMT,1,NA,SSWI000000018947295,56136,12-Jul-20
Coyote,COYOTE_AMT,1,NA,SSWI000000018396449,60117,27-Jul-20
Deer,DEER_ADULT_ANTLERED_AMT,1,NA,SSWI000000018510414,52460,12-Aug-20
Deer,DEER_ADULT_UNKNOWN_AMT,3,NA,SSWI000000018510414,52460,12-Aug-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000010811751,7215,9-Oct-18
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000009537115,7218,3-Nov-17
"Grouse, Ruffed",GROUSE_AMT,3,NA,SSWI000000023523777,55611,29-Aug-21
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000007439902,28204,4-Dec-17
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000019102507,49148,28-Jul-20
Squirrels and Chipmunks,SQUIRREL_AMT,1,NA,SSWI000000012353036,55594,8-Apr-19
Coyote,COYOTE_AMT,1,NA,SSWI000000023457291,32522,11-Sep-21
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016782848,42964,15-Mar-20
Wolf,WOLF_AMT,1,NA,SSWI000000018652034,60117,10-Aug-20
Raccoon,RACCOON_AMT,1,NA,SSWI000000012673399,39889,23-Apr-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000014689828,48279,29-Aug-19
Weasel,WEASEL_AMT,1,NA,SSWI000000021385771,81376,28-Apr-21
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000021859335,87361,19-May-21
Deer,DEER_FAWN_AMT,2,NA,SSWI000000018411225,62364,26-Jul-20
Otter,OTTER_AMT,2,NA,SSWI000000023145172,85412,4-Aug-21
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000005446503,28204,12-May-17
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000020491652,42946,21-Nov-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000015408249,45703,5-Oct-19
Wolf,WOLF_AMT,1,NA,SSWI000000021385285,81377,6-Apr-21
Fisher,FISHER_AMT,1,NA,SSWI000000016600627,55079,28-Feb-20
Fisher,FISHER_AMT,1,NA,SSWI000000015821597,61723,15-Nov-19
Mink,MINK_AMT,1,NA,SSWI000000012232824,56150,5-Apr-19
"Fox, Gray",FOXGRAY_AMT,1,NA,SSWI000000022455252,60014,7-Jul-21
Otter,OTTER_AMT,3,NA,SSWI000000023171360,50546,1-Aug-21
Mink,MINK_AMT,1,NA,SSWI000000010908495,23406,13-Oct-18
Mink,MINK_AMT,1,NA,SSWI000000010646110,28866,16-Sep-18
Weasel,WEASEL_AMT,1,NA,SSWI000000011452420,34606,5-Aug-18
Wolf,WOLF_AMT,1,NA,SSWI000000020435361,39906,25-Dec-20
Fisher,FISHER_AMT,1,NA,SSWI000000015086837,63251,26-Aug-19
Wolf,WOLF_AMT,1,NA,SSWI000000011431824,54977,16-Dec-18
Wolf,WOLF_AMT,1,NA,SSWI000000011431829,54977,17-Dec-18
Fisher,FISHER_AMT,1,NA,SSWI000000010756920,25285,27-Aug-18
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000020233891,54244,31-Aug-20
Elk,ELK_COLLAR_PRESENT,NA,Y,SSWI000000020233891,54244,31-Aug-20
Fisher,FISHER_AMT,1,NA,SSWI000000017560859,54263,16-Apr-20
Fisher,FISHER_AMT,1,NA,SSWI000000020397501,33548,15-Oct-20
Fisher,FISHER_AMT,1,NA,SSWI000000015206994,34650,10-Oct-19
Mink,MINK_AMT,1,NA,SSWI000000019484702,53989,30-Sep-20
Elk,ELK_ADULT_ANTLERED_AMT,1,NA,SSWI000000007439907,28204,4-Dec-17
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000014234180,65734,9-Aug-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000022803311,84095,23-Apr-21
Deer,DEER_ADULT_UNKNOWN_AMT,2,NA,SSWI000000020491732,42946,21-Dec-20
Wolf,WOLF_AMT,1,NA,SSWI000000020391395,50962,25-Nov-20
Elk,ELK_ADULT_UNKNOWN_AMT,1,NA,SSWI000000007439907,28204,4-Dec-17
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000017418309,54402,9-May-20
Wolf,WOLF_AMT,1,NA,SSWI000000023187936,91167,21-Aug-21
Mink,MINK_AMT,1,NA,SSWI000000023018155,63810,1-Aug-21
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000008422212,44706,28-Apr-18
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000016782878,42964,21-Mar-20
Mink,MINK_AMT,1,NA,SSWI000000015300057,58343,17-Sep-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000017032995,66129,29-Feb-20
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000005446567,28204,21-May-17
Elk,ELK_ADULT_ANTLERLESS_AMT,2,NA,SSWI000000007439825,28204,21-Nov-17
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000007439897,28204,4-Dec-17
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000017487081,23220,5-Jun-20
Wolf,WOLF_AMT,2,NA,SSWI000000017672199,61758,12-Jun-20
"Skunk, Striped",SKUNKSTRIPED_AMT,1,NA,SSWI000000018492941,7240,25-May-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000008726896,34614,19-Apr-18
Fisher,FISHER_AMT,1,NA,SSWI000000016861674,50031,27-Mar-20
Deer,DEER_ADULT_ANTLERED_AMT,1,NA,SSWI000000019819553,32184,31-Oct-20
"Grouse, Ruffed",GROUSE_AMT,2,NA,SSWI000000016770597,50259,27-Jan-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000015441662,52457,14-Oct-19
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000013385317,45714,16-Jun-19
Turkey,TURKEY_AMT,2,NA,SSWI000000015589155,69958,7-Nov-19
Fisher,FISHER_AMT,1,NA,SSWI000000011779695,54297,4-Feb-19
Raccoon,RACCOON_AMT,1,NA,SSWI000000012766328,53555,4-May-19
Coyote,COYOTE_AMT,1,NA,SSWI000000017272694,32143,14-May-20
Fisher,FISHER_AMT,1,NA,SSWI000000011199566,49385,26-Nov-18
Wolf,WOLF_AMT,1,NA,SSWI000000018970219,60117,2-Sep-20
Fisher,FISHER_AMT,1,NA,SSWI000000011036708,23118,4-Nov-18
Fisher,FISHER_AMT,1,NA,SSWI000000004591676,172,12-Mar-17
Wolf,WOLF_AMT,1,NA,SSWI000000018967110,81377,12-Sep-20
Wolf,WOLF_AMT,1,NA,SSWI000000018970329,60117,12-Sep-20
Snowshoe Hare,SNOWSHOEHARE_AMT,1,NA,SSWI000000011646257,42966,16-Jan-19
Wolf,WOLF_AMT,1,NA,SSWI000000018395196,60117,5-Jul-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000007984822,7173,29-Mar-18
Fisher,FISHER_AMT,1,NA,SSWI000000016130672,54263,6-Dec-19
"Fox, Red",FOXRED_AMT,1,NA,SSWI000000006478776,29488,3-Aug-17
Fisher,FISHER_AMT,1,NA,SSWI000000015847725,33568,8-Oct-19
Wolf,WOLF_AMT,1,NA,SSWI000000004953562,23223,12-Apr-17
Wolf,WOLF_AMT,1,NA,SSWI000000011431861,54977,22-Dec-18
Elk,ELK_ADULT_UNKNOWN_AMT,1,NA,SSWI000000005446566,28204,21-May-17
Fisher,FISHER_AMT,1,NA,SSWI000000016861117,50031,31-Jan-20
Elk,ELK_COLLAR_PRESENT,NA,Y,SSWI000000020233977,54244,1-Sep-20
Elk,ELK_ADULT_ANTLERED_AMT,1,NA,SSWI000000007439883,28204,4-Dec-17
Wolf,WOLF_AMT,1,NA,SSWI000000019138353,83312,9-Sep-20
Weasel,WEASEL_AMT,1,NA,SSWI000000010646128,28866,18-Sep-18
Wolf,WOLF_AMT,1,NA,SSWI000000011929170,44346,8-Jan-19
Weasel,WEASEL_AMT,1,NA,SSWI000000011655793,50544,4-Jan-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000013455449,54243,29-Jun-19
Elk,ELK_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000007439910,28204,4-Dec-17
Mink,MINK_AMT,1,NA,SSWI000000010646389,28866,5-Oct-18
Cottontail,COTTONTAIL_AMT,1,NA,SSWI000000019819400,32184,14-Sep-20
Deer,DEER_ADULT_ANTLERLESS_AMT,3,NA,SSWI000000018500904,76103,31-Jul-20
Otter,OTTER_AMT,1,NA,SSWI000000023145314,85412,27-Aug-21
Otter,OTTER_AMT,1,NA,SSWI000000023145195,85412,9-Aug-21
Fisher,FISHER_AMT,1,NA,SSWI000000020804629,33560,29-Dec-20
Weasel,WEASEL_AMT,1,NA,SSWI000000017459629,33548,10-May-20
Wolf,WOLF_AMT,1,NA,SSWI000000016426813,50028,10-Feb-20
Deer,DEER_ADULT_UNKNOWN_AMT,1,NA,SSWI000000018947293,56136,11-Jul-20
Fisher,FISHER_AMT,1,NA,SSWI000000008139160,32177,11-Mar-18
Otter,OTTER_AMT,2,NA,SSWI000000019263215,82844,29-Sep-20
Mink,MINK_AMT,1,NA,SSWI000000006628348,32136,6-Sep-17
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000016239864,32471,8-Dec-19
Fisher,FISHER_AMT,1,NA,SSWI000000014234124,65734,30-Jul-19
Fisher,FISHER_AMT,1,NA,SSWI000000011199445,49385,13-Nov-18
Otter,OTTER_AMT,1,NA,SSWI000000023347163,81377,1-Jul-21
Wolf,WOLF_AMT,1,NA,SSWI000000020131456,67194,4-Sep-20
Weasel,WEASEL_AMT,1,NA,SSWI000000014761648,34801,29-Aug-19
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000012064847,37109,18-Mar-19
Deer,DEER_ADULT_ANTLERLESS_AMT,1,NA,SSWI000000018947421,56136,3-Aug-20
"Grouse, Ruffed",GROUSE_AMT,1,NA,SSWI000000004866225,23386,22-Apr-17
Otter,OTTER_AMT,1,NA,SSWI000000023145164,85412,2-Aug-21
Wolf,WOLF_AMT,1,NA,SSWI000000014400759,45426,1-Aug-19
Wolf,WOLF_AMT,1,NA,SSWI000000004306538,29521,28-Jan-17
Turkey,TURKEY_AMT,1,NA,SSWI000000013839998,46184,22-May-19
Wolf,WOLF_AMT,1,NA,SSWI000000004953563,23223,12-Apr-17
