Model_Output_ID,model_id,image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_species_name,image_id_2_species_name,image_id_3_species_name,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,load_date
103,1,2988044,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
104,1,2988049,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
105,1,2988236,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
106,1,2988994,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
107,1,2989110,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
108,1,2989464,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
109,1,2989466,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
110,1,2991365,A,B,C,,,animal,,,0.5068359375,,,"0.5923295180485966,0.6040482680485966,0.17329545876175437,0.09232954123824563",0,0,1,True,True,False,False,False,False,12/05/2021
111,1,2991942,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
112,1,2992187,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
113,1,2992334,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
114,1,2992479,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
115,1,2992511,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
116,1,2993458,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
117,1,2993507,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
118,1,2993947,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
119,1,2994388,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
120,1,2994646,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
121,1,2995023,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
122,1,2995041,A,B,C,animal,animal,animal,0.6240234375,0.69775390625,0.66943359375,"0.6828835206191228,0.5873579355721054,0.14701704123824563,0.13920454123824563","0.6853692886677194,0.5955255618573685,0.14630683504701747,0.14701704123824563","0.6828835206191228,0.5841619149529825,0.1441761237147369,0.13849433504701747",1,1,1,False,False,False,False,False,False,12/05/2021
123,1,3000439,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
124,1,3000474,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
125,1,3001165,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
126,1,3001310,A,B,C,,,animal,,,0.409423828125,,,"0.5571732680485966,0.21555397358346493,0.12571020619122816,0.11044034407131578",0,0,1,True,True,False,False,False,False,12/05/2021
127,1,3004659,A,B,C,,animal,animal,,0.256591796875,0.56201171875,,"0.20223720747649127,0.2842240724882456,0.15092329123824563,0.27743251997649127","0.2954545296434211,0.25288529091692985,0.22301135309561407,0.19806462435736844",0,1,1,True,False,False,False,False,False,12/05/2021
128,1,3005830,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
129,1,3011788,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
130,1,3012813,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
131,1,3013803,A,B,C,,animal,animal,,0.6103515625,0.61865234375,,"0.5404829355721054,0.9268465360971931,0.12002837114421068,0.07528408247649127","0.48863634150078955,0.9517044948589476,0.20099431185736844,0.09375",0,1,1,True,False,False,False,False,False,12/05/2021
132,1,3013804,A,B,C,,,animal,,,0.294921875,,,"0.9318181185736845,0.621093726810351,0.12215908247649127,0.12784087114421067",0,0,1,True,True,False,False,False,False,12/05/2021
133,1,3013999,A,B,C,,animal,,,0.290771484375,,,"0.40731533247649127,0.8664772474294737,0.09943183504701748,0.1008523401880699",,0,1,0,True,False,True,False,False,False,12/05/2021
134,1,3016569,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
135,1,3016663,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
136,1,3017148,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
137,1,3017151,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
138,1,3018645,A,B,C,"animal,animal",animal,animal,"0.3359375,0.397216796875",0.350341796875,0.366943359375,"0.11212712435736845,0.9019886237147369,0.2242542487147369,0.1960227525705262;0.9644886237147369,0.6993962667633334,0.07102275257052622,0.17080962114421067","0.9630681649529825,0.699218726810351,0.07386367009403495,0.1768465360971932","0.9637784175235088,0.6993962899529825,0.07244316495298252,0.17365058504701747",2,1,1,False,False,False,False,False,False,12/05/2021
139,1,3019372,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
140,1,3019459,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
141,1,3023332,A,B,C,,animal,animal,,0.2705078125,0.2568359375,,"0.06991299452390352,0.4311967171434211,0.13982598904780705,0.46147014304859657","0.060946374678684224,0.42151987951214914,0.12189274935736845,0.458806823452193",0,1,1,True,False,False,False,False,False,12/05/2021
142,1,3023476,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
143,1,3023517,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
144,1,3023688,A,B,C,,,animal,,,0.279052734375,,,"0.06658380734521929,0.8963067886677194,0.13316761469043858,0.20738642266456117",0,0,1,True,True,False,False,False,False,12/05/2021
145,1,3023897,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
146,1,3024143,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
147,1,3024187,A,B,C,,,animal,,,0.269287109375,,,"0.775745728095614,0.8032670412382457,0.44850854380877186,0.20596591752350873",0,0,1,True,True,False,False,False,False,12/05/2021
148,1,3024455,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
149,1,3024884,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
150,1,3025794,A,B,C,animal,,animal,0.61376953125,,0.67724609375,"0.18678976482171056,0.5973011237147369,0.0933948853095614,0.08096591752350873",,"0.18252840013127197,0.5987215592868422,0.09517044716692985,0.0816761237147369",1,0,1,False,True,False,False,False,False,12/05/2021
151,1,3025879,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
152,1,3026418,A,B,C,"animal,animal",animal,animal,"0.461669921875,0.67822265625",0.59765625,0.57666015625,"0.0430242365061965,0.9513494149529825,0.085826526987607,0.09730117009403495;0.8934659175235088,0.6473721443338597,0.09943183504701748,0.0738636237147369","0.8934658711442107,0.6491477061912282,0.10511357733543883,0.07244316495298252","0.890625,0.6484375,0.09943183504701748,0.07528408247649127",2,1,1,False,False,False,False,False,False,12/05/2021
153,1,3026587,A,B,C,"animal,animal","animal,animal","animal,animal","0.52197265625,0.53125","0.334716796875,0.494140625","0.67822265625,0.378173828125","0.03169389046434211,0.6392045412382457,0.06338778092868422,0.08877841752350873;0.65234375,0.6118607912382457,0.109375,0.08309658247649127","0.03191583569651317,0.6381391855721054,0.06383167139302634,0.08451704123824563;0.6502130618573685,0.605823853095614,0.11860795876175437,0.0823863762852631","0.6491477061912282,0.6061789793808772,0.11860791238245631,0.08451704123824563;0.032204367107171054,0.6384942886677194,0.06440873421434211,0.08522724742947378",2,2,2,False,False,False,False,False,False,12/05/2021
154,1,3027143,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
155,1,3027627,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
156,1,3027703,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
157,1,3028275,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
158,1,3028286,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
159,1,3028789,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
160,1,3029075,A,B,C,animal,animal,animal,0.2705078125,0.59716796875,0.51220703125,"0.6530539561912282,0.7805397706191228,0.1015625,0.12642045876175437","0.6548295180485966,0.7819602061912282,0.1058238762852631,0.12784091752350873","0.6541192886677194,0.7819602061912282,0.10085224742947378,0.11789775257052622",1,1,1,False,False,False,False,False,False,12/05/2021
161,1,3030447,A,B,C,animal,animal,animal,0.3564453125,0.437255859375,0.323486328125,"0.23783735373824563,0.9161931649529825,0.47176845747649127,0.16761367009403497","0.23730467065127062,0.9154829587617543,0.47141331850938883,0.16903408247649127","0.23757102483130516,0.9154829587617543,0.4730113678608984,0.16903408247649127",1,1,1,False,False,False,False,False,False,12/05/2021
162,1,3030452,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
163,1,3030942,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
164,1,3031593,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
165,1,3031832,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
166,1,3032202,A,B,C,animal,animal,animal,0.30322265625,0.39697265625,0.34228515625,"0.03663218866093905,0.9509942886677194,0.07197709046417457,0.09801142266456117","0.02260520175597588,0.6335227061912282,0.04521040351195176,0.1335227525705262","0.03465686933247877,0.9495738299059651,0.06847034381153373,0.1008523401880699",1,1,1,False,False,False,False,False,False,12/05/2021
167,1,3039167,A,B,C,animal,,,0.304931640625,,,"0.030417700555730374,0.9559659175235088,0.05972567105546911,0.08806816495298252",,,1,0,0,False,True,True,False,False,False,12/05/2021
168,1,3039286,A,B,C,animal,animal,animal,0.654296875,0.67333984375,0.7080078125,"0.034279562419671054,0.94140625,0.06709428108934211,0.1171875","0.03570001694659694,0.94140625,0.07011274703549035,0.1171875","0.0353781944395561,0.9424715824764912,0.06969104797825625,0.11505683504701748",1,1,1,False,False,False,False,False,False,12/05/2021
169,1,3039452,A,B,C,animal,animal,animal,0.74755859375,0.73876953125,0.7841796875,"0.03435724378085064,0.9421164561912282,0.06729403305742154,0.11576708761754369","0.03506747001391414,0.94140625,0.06835937182954017,0.1171875","0.03410200507445176,0.9417613299059651,0.06673916639890352,0.1164773401880699",1,1,1,False,False,False,False,False,False,12/05/2021
170,1,3039859,A,B,C,animal,animal,animal,0.6748046875,0.732421875,0.70361328125,"0.03477894046023986,0.9573863299059651,0.06636185812732731,0.0852273401880699","0.034468217053674276,0.9563209974294737,0.06645063870221286,0.08735800514105244","0.03464577358363247,0.95703125,0.06671697345185787,0.0859375",1,1,1,False,False,False,False,False,False,12/05/2021
171,1,3040236,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
172,1,3040728,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
173,1,3040972,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
174,1,3041575,A,B,C,animal,,animal,0.3017578125,,0.53564453125,"0.8913352061912282,0.5610795180485966,0.09232958761754369,0.10298295876175437",,"0.8998579123824563,0.5607244149529825,0.07386367009403495,0.10298291238245631",1,0,1,False,True,False,False,False,False,12/05/2021
175,1,3041719,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
176,1,3041978,A,B,C,animal,animal,"animal,animal",0.38818359375,0.5068359375,"0.330078125,0.478271484375","0.9034090360971931,0.5646306649529825,0.09659091752350873,0.10866474742947378","0.9048295412382457,0.5635653324764912,0.11647724742947378,0.11931816495298252","0.3974609375,0.519531226810351,0.205078125,0.1519886237147369;0.9041192886677194,0.5617897474294737,0.08522724742947378,0.10866474742947378",1,1,2,False,False,False,False,False,False,12/05/2021
177,1,3042516,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
178,1,3043126,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
179,1,3043727,A,B,C,animal,,,0.458984375,,,"0.9460227061912282,0.5809658943338597,0.05113642266456117,0.056818211332280585",,,1,0,0,False,True,True,False,False,False,12/05/2021
180,1,3043747,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
181,1,3044146,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
182,1,3044791,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
183,1,3044839,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
184,1,3044861,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
185,1,3814723,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
186,1,3816661,A,B,C,animal,animal,,0.3212890625,0.30224609375,,"0.38458806185736844,0.8238636237147369,0.1754261237147369,0.06534091752350873","0.3863636121199124,0.8267044948589476,0.16548293557210533,0.06676132990596505",,1,1,0,False,False,True,False,False,False,12/05/2021
187,1,3818469,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
188,1,3837963,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
189,1,3850301,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
190,1,3850355,A,B,C,,animal,,,0.447509765625,,,"0.6363636237147369,0.9531249536207019,0.09588066495298252,0.09232958761754369",,0,1,0,True,False,True,False,False,False,12/05/2021
191,1,3851197,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
192,1,3855403,A,B,C,,,animal,,,0.31005859375,,,"0.7105823505250879,0.9779829587617543,0.25213061857368446,0.04403408247649126",0,0,1,True,True,False,False,False,False,12/05/2021
193,1,3867201,A,B,C,,,,,,,,,,0,0,0,True,True,True,False,False,False,12/05/2021
